,precision,recall,f1-score,support
Fake (0),0.9894421458125268,0.9966944524288589,0.9930550583518293,6958.0
Real (1),0.9959832343695424,0.9871905833477583,0.9915674171955142,5777.0
accuracy,0.9923831959167648,0.9923831959167648,0.9923831959167648,0.9923831959167648
macro avg,0.9927126900910346,0.9919425178883086,0.9923112377736718,12735.0
weighted avg,0.9924093910888424,0.9923831959167648,0.9923802171299971,12735.0
